id,building_id,priority,status,floor,name,seats,video_conference_holder
1,1,5,AVAILABLE,1,Lachesis,2,True
2,1,4,AVAILABLE,1,ANASIS-II,4,True
3,1,3,AVAILABLE,1,Alcestis,8,True
4,1,5,AVAILABLE,1,Outram,2,True
5,1,3,AVAILABLE,1,Philomela,8,True
6,1,5,AVAILABLE,1,Queenstown,2,True
7,1,4,OUT_OF_SERVICE,1,Erebus,4,True
8,1,2,AVAILABLE,1,Ikot Ekpene,16,True
9,1,1,AVAILABLE,1,Zaria,32,True
10,1,3,AVAILABLE,1,Yekaterinburg,8,True
11,1,2,AVAILABLE,1,Molde,16,False
12,1,5,AVAILABLE,1,Roubaix,2,True
13,1,5,AVAILABLE,1,Augeas,2,True
14,1,5,AVAILABLE,1,Khairpur,2,False
15,1,4,AVAILABLE,1,Lafayette,4,False
16,1,4,AVAILABLE,1,Ternopil,4,True
17,1,3,AVAILABLE,2,Aesacus,8,True
18,1,2,AVAILABLE,2,Hermione,16,True
19,1,5,AVAILABLE,2,Woodlands,2,True
20,1,3,AVAILABLE,2,Hera,8,True
21,1,1,AVAILABLE,2,Falcon 9 Test Flight,32,True
22,1,5,AVAILABLE,2,CRS-13,2,True
23,1,3,AVAILABLE,2,GPS III SV03 (Columbus),8,True
24,1,2,AVAILABLE,2,DemoSat,16,False
25,1,4,AVAILABLE,2,Gwangyang,4,True
26,1,5,AVAILABLE,2,Dublin,2,True
27,1,1,AVAILABLE,2,Boulogne-Billancourt,32,False
28,1,2,AVAILABLE,2,Starlink-9 (v1.0) & BlackSky Global 5-6,16,True
29,1,5,AVAILABLE,2,Paphos,2,False
30,1,2,AVAILABLE,2,Heule,16,True
31,2,4,AVAILABLE,1,OG-2 Mission 2,4,True
32,2,4,AVAILABLE,1,Nowshera,4,True
33,2,4,AVAILABLE,1,Ilioneus,4,True
34,2,5,AVAILABLE,1,Peneus,2,False
35,2,4,AVAILABLE,1,ABS-2A / Eutelsat 117W B,4,True
36,2,1,AVAILABLE,1,CRS-18,32,True
37,2,3,AVAILABLE,1,Iole,8,True
38,2,5,AVAILABLE,1,Wonju,2,False
39,2,4,AVAILABLE,1,CRS-19,4,True
40,2,5,AVAILABLE,1,Cabadbaran,2,True
41,2,3,AVAILABLE,1,Starlink 6,8,True
42,2,2,AVAILABLE,2,CRS-17,16,False
43,2,5,AVAILABLE,2,Silvassa,2,True
44,2,4,AVAILABLE,2,Telemachus,4,True
45,2,3,AVAILABLE,2,Praxithea,8,True
46,2,5,AVAILABLE,2,Alope,2,True
47,2,5,AVAILABLE,2,Dubno,2,True
48,2,5,AVAILABLE,2,Phosphorus,2,True
49,2,2,AVAILABLE,2,Almere,16,True
50,2,5,AVAILABLE,3,Desamparados,2,True
51,2,3,AVAILABLE,3,Cracow,8,False
52,2,3,AVAILABLE,3,Ino,8,False
53,2,4,AVAILABLE,3,Darwin,4,True
54,2,5,AVAILABLE,3,Palmerston North,2,True
55,2,5,AVAILABLE,3,Calliope,2,True
56,2,1,AVAILABLE,3,Sicuani,32,True
57,2,3,AVAILABLE,3,Vigo,8,True
58,2,5,AVAILABLE,3,Iphicles,2,True
59,2,3,AVAILABLE,3,Sabadell,8,False
60,2,4,AVAILABLE,3,Peleus,4,False
61,2,3,AVAILABLE,4,Mirpur,8,True
62,2,5,AVAILABLE,4,Xuthus,2,True
63,2,4,AVAILABLE,4,Melilla,4,True
64,2,2,AVAILABLE,4,Starlink-8 & SkySat 16-18,16,True
65,2,1,AVAILABLE,4,Moulins,32,True
66,2,1,AVAILABLE,4,Kotamobagu,32,False
67,2,5,AVAILABLE,4,Arequipa,2,True
68,2,5,AVAILABLE,4,Roubaix,2,True
69,2,2,AVAILABLE,4,Laomedon,16,False
70,2,2,AVAILABLE,4,Procne,16,True
71,2,5,AVAILABLE,4,Kharmang,2,True
72,2,3,AVAILABLE,4,Oslo,8,False
73,3,5,AVAILABLE,1,Pandion,2,True
74,3,2,AVAILABLE,1,Starlink 6,16,True
75,3,5,AVAILABLE,1,Ion,2,True
76,3,2,AVAILABLE,1,Bremen,16,True
